PERIODE;NO_UA;REGION;SEPM;THO;PRU;PIN;PEU;BOP;BOJ;ERS;AUF;TOTAL;LIEN_WEB;HYPERLIEN;UA_TXT
2018-2023;02665;02;219200;100;0;100;9900;9700;0;0;0;239000;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/nord-du-quebec-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/02665_fiche_determination_18_v3.pdf;026-65
2018-2023;02666;02;161700;100;0;0;10500;10100;0;0;0;182400;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/nord-du-quebec-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/02666_fiche_determination_18_v3.pdf;026-66
2018-2023;02751;02;881400;0;0;100;73500;108900;1200;1500;200;1066800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/saguenay-lac-saint-jean-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/02751_fiche-_determination__18_v3.pdf;027-51
2018-2023;03153;03;50400;0;0;0;0;6300;0;0;0;56700;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/capitale-nationale-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/03153_fiche_determination_18_v3.pdf;031-53
2018-2023;03171;03;149400;0;0;0;17000;48000;33800;13900;3500;265600;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/capitale-nationale-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/03171_fiche_determination_18_v3.pdf;031-71
2018-2023;03351;03;129400;1400;0;1600;35500;47300;7200;8800;300;231500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/capitale-nationale-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/03351_fiche_determination_18_v3.pdf;033-51
2018-2023;03451;03;7000;900;1700;0;100;100;1800;5200;400;17200;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/chaudiere-appalaches-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/03451_fiche_determination_18_v3.pdf;034-51
2018-2023;03571;03;113900;8300;0;100;19600;16500;9600;17400;800;186200;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/chaudiere-appalaches-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/03571_fiche_determination_18_v3.pdf;035-71
2018-2023;04151;04;514900;35100;1700;20900;63600;114300;58900;85100;11700;906200;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/mauricie-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/04151_fiche_determination_18_v3.pdf;041-51
2018-2023;04251;04;734400;7900;0;6700;118300;183400;77500;40700;1600;1170500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/mauricie-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/04251_fiche_determination_18_v3.pdf;042-51
2018-2023;04351;04;791200;0;0;100;121100;214300;200;4100;0;1131000;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/mauricie-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/04351_fiche_determination_18_v3.pdf;043-51
2018-2023;04352;04;681900;7800;0;19900;163100;266000;38300;28700;1200;1206900;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/mauricie-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/04352_fiche_determination_18_v3.pdf;043-52
2018-2023;05151;05;28200;800;0;300;2900;5400;8200;17400;600;63800;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/estrie-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/05151_fiche-_determination_18_v3.pdf;051-51
2018-2023;06151;06;11400;1400;3100;1300;8700;3700;12100;38900;12900;93500;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/laurentides-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/06151_fiche-_determination_18_v3.pdf;061-51
2018-2023;06271;06;372700;25800;300;11500;90700;166500;85600;67300;6800;827200;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/lanaudiere-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/06271_fiche_determination_18_v3.pdf;062-71
2018-2023;06452;06;24700;6400;12400;3700;18400;7400;22700;66500;31800;194000;https://forestierenchef.gouv.qc.ca/possibilites-forestieres/periode-2018-2023/regions-forestieres-2018-2023/laurentides-2018-2023/;https://forestierenchef.gouv.qc.ca/wp-content/uploads/06452_fiche_determination_18_v3.pdf;064-52
